;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/towers_drone_attack_lvl3_energy;More advanced version of the Drone Attack Tower with more drones that attack via lighting strikes;;;;Eine weiterentwickelte Version des Drohnenangriffsturms mit mehr Drohnen, die mit Blitzeinschlägen angreifen;;;无人机攻击塔的更高级版本，拥有更多无人机，通过雷击进行攻击。;;
gui/menu/research/description/towers_fire_spitter_lvl2;An incendiary version of the Spewer Tower which utilizes input fluids as incendiary carrier materials for advanced fluid ammunition;;;;Eine Brandversion des Spewer-Turms, die zugeführte Flüssigkeiten als Brandträgermaterial für fortschrittliche Flüssigmunition nutzt;;;喷射塔的燃烧版本，利用输入流体作为燃烧载体材料，用于高级流体弹药。;;
gui/menu/research/description/towers_fire_spitter_lvl3;A larger version of the Napalm Spewer Tower making use of the most powerful liquid ammunition;;;;Eine größere Version des Napalm-Spewer-Turms, die die stärkste Flüssigmunition einsetzt;;;凝固汽油弹喷射塔的放大版本，使用最强大的液体弹药。;;
gui/menu/research/description/towers_laser_water;Development of a laser tower variant utilizing locally available fluids for cooling utilizing a floating platform rather than a foundation;;;;Entwicklung einer Laserturm-Variante, die lokal verfügbare Flüssigkeiten zur Kühlung nutzt und eine schwimmende Plattform anstelle eines Fundaments verwendet;;;开发一种激光塔变体，利用当地可用液体进行冷却，使用浮动平台而非地基;;
gui/menu/research/description/towers_lowcaliber;Provides basic defense towers utilizing low caliber ammunition.;;;;Stellt einfache Verteidigungstürme bereit, die Munition mit geringem Kaliber verwenden.;;;提供使用小口径弹药的基础防御塔。;;
gui/menu/research/description/towers_mines_lvl1;The Mine Layer Tower uses automated mine drones to block incoming enemy waves;;;;Der Minenlegerturm nutzt automatisierte Minendrohnen, um anrückende feindliche Wellen abzuwehren;;;布雷塔使用自动布雷无人机阻挡来袭的敌潮;;
gui/menu/research/description/towers_mines_lvl2;Optimized blueprint allow the Riftbreaker to build more robust version of the Mine Layer Tower;;;;Optimierte Baupläne ermöglichen es dem Riftbreaker, eine robustere Version des Minenlegerturms zu bauen;;;优化的蓝图允许裂谷者建造更坚固的布雷塔版本;;
gui/menu/research/description/towers_mines_lvl3;Perfected blueprint allow the Riftbreaker to the most sophisticated version of the Mine Layer Tower;;;;Perfektionierte Baupläne ermöglichen es dem Riftbreaker, die ausgefeilteste Version des Minenlegerturms zu bauen;;;完善的蓝图允许裂谷者建造最精密的布雷塔版本;;
gui/menu/research/description/towers_rocket;Simple rocket powered grenade defense towers;;;;Einfache, raketenbetriebene Granaten-Verteidigungstürme;;;简单的火箭动力榴弹防御塔;;
gui/menu/research/description/towers_shockwave_acid;Development of acidic infused shock waves as an upgrade to shock-wave towers;;;;Entwicklung von mit Säure angereicherten Schockwellen als Upgrade für Schockwellentürme;;;开发酸性注入冲击波作为冲击波塔的升级;;
gui/menu/research/description/towers_shockwave_acid_lvl_2;Upgraded efficiency with larger area of effect of the acidic shock wave;;;;Verbesserte Effizienz mit größerem Wirkungsbereich der Säure-Schockwelle;;;升级效率，酸性冲击波的作用范围更大;;
gui/menu/research/description/towers_shockwave_cryo;Development of thermal shock waves as an upgrade to shock-wave towers;;;;Entwicklung von thermischen Schockwellen als Upgrade für Schockwellentürme;;;开发热冲击波作为冲击波塔的升级;;
gui/menu/research/description/towers_shockwave_cryo_lvl_2;Upgraded efficiency with larger area of effect of the thermal shock wave;;;;Verbesserte Effizienz mit größerem Wirkungsbereich der thermischen Schockwelle;;;升级效率，热冲击波的作用范围更大;;
gui/menu/research/description/uranium_enrichment_lvl_2;Advanced techniques applying tanzanite allows for a more efficient mass separation of isotopes;;;;Fortgeschrittene Techniken unter Verwendung von Tansanit ermöglichen eine effizientere Massentrennung von Isotopen;;;应用坦桑石的高级技术允许更有效地进行同位素质量分离;;
gui/menu/research/description/uranium_enrichment_lvl_3;Application of morphium to adjust isotope ratio of raw uranium allows to maximize centrifuge yield;;;;Die Anwendung von Morphium zur Anpassung des Isotopenverhältnisses von Rohuran ermöglicht die Maximierung der Zentrifugenausbeute;;;应用形变液调整原铀的同位素比例，最大化离心机产量;;
gui/menu/research/description/water_purification_lvl_1;Basic Water treatment and purification via only basic filtering mechanisms. Limited yield but without any extra upkeep.;;;;;;;;;
gui/menu/research/description/water_purification_lvl_2;Uses activated carbonium filters to maximize purification rate. Requires globally available carbonium as extra upkeep;;;;;;;;;
gui/menu/research/description/water_purification_lvl_3;Additional purification mechanisms using reagents to chemically cleanse the water in most efficient way. Requires additional piping for purification chemicals but reduces carbonium upkeep;;;;;;;;;
gui/menu/research/description/well_contruction;Construction of wells for liquid extraction;;;;Bau von Bohrlöchern zur Flüssigextraktion;;;用于液体提取的井的建造;;
gui/menu/research/description/well_contruction_lvl_2;Advanced well extraction methods - particularly fracking;;;;Fortschrittliche Bohrloch-Extraktionsmethoden – insbesondere Fracking;;;先进的井提取方法 - 特别是压裂;;
gui/menu/research/description/well_contruction_lvl_3;Optimized well extraction by fracking;;;;Optimierte Bohrloch-Extraktion durch Fracking;;;通过压裂优化的井提取;;
gui/menu/research/description/wind_energy_lvl_1;Simple and effective source of energy that requires no maintenance but requires wind. ;;;;Einfache und effektive Energiequelle, die keine Wartung erfordert, aber Wind benötigt. ;;;一种简单且有效的能源，无需维护，但需要风力。;;
gui/menu/research/description/wind_energy_lvl_2;Improved frictonless setup and larger sails allows to yield even more power from wind;;;;Verbesserte reibungsfreie Konstruktion und größere Segel ermöglichen eine noch höhere Energieausbeute aus Wind;;;改进的无摩擦装置和更大的帆叶，使得能从风中获取更多电力。;;
gui/menu/research/description/wind_energy_lvl_3;Maximizing the effecitve sail surface allows to optimize wind energy yield to full potential;;;;Die Maximierung der effektiven Segelfläche ermöglicht die Optimierung der Windenergieausbeute auf ihr volles Potenzial;;;最大化有效帆叶面积，使风能产量达到其全部潜力。;;
gui/menu/research/name/ai_hub;AI Hub;;;;AI-Hub;;;AI中心;;
gui/menu/research/name/ai_hub_lvl2;AI Hub - Cooled;;;;AI-Hub – gekühlt;;;AI中心 - 冷却型;;
gui/menu/research/name/ai_hub_lvl3;AI Hub - Supercooled;;;;AI-Hub – unterkühlt;;;AI中心 - 超级冷却型;;
gui/menu/research/name/alloys_palladium;Palladium Alloys;;;;Palladiumlegierungen;;;钯合金;;
gui/menu/research/name/alloys_titanium;Titanium Alloys;;;;Titanlegierungen;;;钛合金;;
gui/menu/research/name/alloys_uranium;Uranium Alloys;;;;Uranlegierungen;;;铀合金;;
gui/menu/research/name/ammo_energy_cell_lvl2;Advanced Energy Cell Production;;;;Fortschrittliche Energiezellenproduktion;;;高级能量电池生产;;
gui/menu/research/name/ammo_energy_cell_lvl2b;Advanced Energy Cell Optimization;;;;Fortschrittliche Energiezellenoptimierung;;;高级能量电池优化;;
gui/menu/research/name/ammo_energy_cell_lvl3;High-Tech Energy Cell Production;;;;Hightech-Energiezellenproduktion;;;高科技能量电池生产;;
gui/menu/research/name/ammo_energy_cell_lvl4;High-Tech Energy Cell Optimization;;;;Hightech-Energiezellenoptimierung;;;高科技能量电池优化;;
gui/menu/research/name/ammo_energy_cell_lvl5;High-Tech Energy Cell Optimization;;;;Hightech-Energiezellenoptimierung;;;高科技能量电池优化;;
gui/menu/research/name/ammo_explosive_fissonium;Advanced Nuclear Explosives;;;;Fortgeschrittene nukleare Sprengstoffe;;;先进核炸药;;
gui/menu/research/name/ammo_explosive_liquid_lvl2;Improved Active Ammunition Production;;;;Verbesserte Produktion aktiver Munition;;;改进型活性弹药生产;;
gui/menu/research/name/ammo_explosive_lvl2;Advanced Explosives Production;;;;Fortgeschrittene Sprengstoffproduktion;;;高级炸药生产;;
gui/menu/research/name/ammo_explosive_lvl2b;Advanced Explosives Optimization;;;;Fortgeschrittene Sprengstoffoptimierung;;;高级炸药优化;;
gui/menu/research/name/ammo_explosive_lvl3;High-Tech Explosives Production;;;;Hightech-Sprengstoffproduktion;;;高科技炸药生产;;
gui/menu/research/name/ammo_explosive_lvl4;High-Tech Explosives Optimization;;;;Hightech-Sprengstoffoptimierung;;;高科技炸药优化;;
gui/menu/research/name/ammo_explosive_lvl5;High-Tech Explosives Optimization;;;;Hightech-Sprengstoffoptimierung;;;高科技炸药优化;;
gui/menu/research/name/ammo_high_caliber_lvl2;Advanced High Caliber Production;;;;Fortgeschrittene Produktion von Großkalibermunition;;;高级大口径弹药生产;;
gui/menu/research/name/ammo_high_caliber_lvl2b;Advanced High Caliber Optimization;;;;Fortgeschrittene Optimierung von Großkalibermunition;;;高级大口径弹药优化;;
gui/menu/research/name/ammo_high_caliber_lvl3;High-Tech High Caliber Production;;;;Hightech-Produktion von Großkalibermunition;;;高科技大口径弹药生产;;
gui/menu/research/name/ammo_high_caliber_lvl4;High-Tech High Caliber Optimization;;;;Optimierung von High-Tech-Großkalibermunition;;;高科技大口径弹药优化;;
gui/menu/research/name/ammo_high_caliber_lvl5;High-Tech High Caliber Optimization;;;;Optimierung von High-Tech-Großkalibermunition;;;高科技大口径弹药优化;;
gui/menu/research/name/ammo_liquid_lvl2;Advanced Liquid Ammunition Production;;;;Fortgeschrittene Produktion von Flüssigmunition;;;高级液体弹药生产;;
gui/menu/research/name/ammo_liquid_lvl2b;Advanced Liquid Ammunition Optimization;;;;Fortgeschrittene Optimierung von Flüssigmunition;;;高级液体弹药优化;;
gui/menu/research/name/ammo_liquid_lvl3;High-Tech Liquid Ammunition Production;;;;High-Tech-Produktion von Flüssigmunition;;;高科技液体弹药生产;;
gui/menu/research/name/ammo_liquid_lvl4;High-Tech Liquid Ammunition Optimization;;;;High-Tech-Optimierung von Flüssigmunition;;;高科技液体弹药优化;;
gui/menu/research/name/ammo_liquid_lvl5;High-Tech Liquid Ammunition Optimization;;;;High-Tech-Optimierung von Flüssigmunition;;;高科技液体弹药优化;;
gui/menu/research/name/ammo_low_caliber_lvl2;Advanced Low Caliber Production;;;;Fortgeschrittene Produktion von Kleinkalibermunition;;;高级小口径弹药生产;;
gui/menu/research/name/ammo_low_caliber_lvl2b;Advanced Low Caliber Optimization;;;;Fortgeschrittene Optimierung von Kleinkalibermunition;;;高级小口径弹药优化;;
gui/menu/research/name/ammo_low_caliber_lvl3;High-Tech Low Caliber Production;;;;High-Tech-Produktion von Kleinkalibermunition;;;高科技小口径弹药生产;;
gui/menu/research/name/ammo_low_caliber_lvl4;High-Tech Low Caliber Optimization;;;;High-Tech-Optimierung von Kleinkalibermunition;;;高科技小口径弹药优化;;
gui/menu/research/name/ammo_low_caliber_lvl5;High-Tech Low Caliber Optimization;;;;High-Tech-Optimierung von Kleinkalibermunition;;;高科技小口径弹药优化;;
gui/menu/research/name/ammo_low_high_caliber_lvl2;Improved Projectile Ammunition Production;;;;Verbesserte Produktion von Projektilmunition;;;改进型射弹弹药生产;;
gui/menu/research/name/ammonium_extraction;Ammonium Extraction;;;;Ammoniumgewinnung;;;铵提取;;
gui/menu/research/name/ammonium_extraction_lvl_2;Advanced Ammonium Extraction;;;;Fortgeschrittene Ammoniumgewinnung;;;高级铵提取;;
gui/menu/research/name/ammonium_synthesis;Atmospheric Nitrogen Utilization;;;;Nutzung von atmosphärischem Stickstoff;;;大气氮利用;;
gui/menu/research/name/ammonium_synthesis_lvl_2;Improved Haber Process;;;;Verbessertes Haber-Verfahren;;;改进型哈柏法;;
gui/menu/research/name/bio_cobalt;Bio-Cobalt Extraction;;;;Bio-Kobaltgewinnung;;;生物钴提取;;
gui/menu/research/name/bio_cobalt_lvl_2;Improved Bio-Cobalt Extraction;;;;Verbesserte Bio-Kobaltgewinnung;;;改进型生物钴提取;;
gui/menu/research/name/bio_cobalt_lvl_3;Perfected Bio-Cobalt Extraction;;;;Perfektionierte Bio-Kobaltgewinnung;;;完美型生物钴提取;;
gui/menu/research/name/bio_palladium;Bio-Palladium Extraction;;;;Bio-Palladiumgewinnung;;;生物钯提取;;
gui/menu/research/name/bio_palladium_lvl_2;Improved Bio-Palladium Extraction;;;;Verbesserte Bio-Palladiumgewinnung;;;改进型生物钯提取;;
gui/menu/research/name/bio_palladium_lvl_3;Perfected Bio-Palladium Extraction;;;;Perfektionierte Bio-Palladiumgewinnung;;;完美型生物钯提取;;
gui/menu/research/name/bio_processing;Bio Processing;;;;Bioverarbeitung;;;生物加工;;
gui/menu/research/name/bio_processing_lvl_2;Bio Processing 2;;;;Bioverarbeitung 2;;;生物加工2级;;
gui/menu/research/name/bio_processing_lvl_3;Bio Processing 3;;;;Bioverarbeitung 3;;;生物加工3级;;
gui/menu/research/name/bio_reactive_compounds;Bio-Reactive Compounds;;;;Bioaktive Verbindungen;;;生物反应性化合物;;
gui/menu/research/name/bio_reactive_compounds_lvl_2;Bio-Reactive Compounds 2;;;;Bioaktive Verbindungen 2;;;生物反应性化合物2级;;
gui/menu/research/name/bio_reactive_compounds_lvl_3;Bio-Reactive Compounds 3;;;;Bioaktive Verbindungen 3;;;生物反应性化合物3级;;
gui/menu/research/name/bio_titanium;Bio-Titanium Extraction;;;;Bio-Titan-Gewinnung;;;生物钛提取;;
gui/menu/research/name/bio_titanium_lvl_2;Improved Bio-Titanium Extraction;;;;Verbesserte Bio-Titan-Gewinnung;;;改进型生物钛提取;;
gui/menu/research/name/bio_titanium_lvl_3;Perfected Bio-Titanium Extraction;;;;Perfektionierte Bio-Titan-Gewinnung;;;完美型生物钛提取;;
gui/menu/research/name/bio_uranium;Bio-Uranium Extraction;;;;Bio-Uran-Gewinnung;;;生物铀提取;;
gui/menu/research/name/bio_uranium_lvl_2;Improved Bio-Uranium Extraction;;;;Verbesserte Bio-Uran-Gewinnung;;;改进型生物铀提取;;
gui/menu/research/name/bio_uranium_lvl_3;Perfected Bio-Uranium Extraction;;;;Perfektionierte Bio-Uran-Gewinnung;;;完美型生物铀提取;;
gui/menu/research/name/biogas;Bioreactors;;;;Bioreaktoren;;;生物反应器;;
gui/menu/research/name/biogas_lvl_2;Bioreactors 2;;;;Bioreaktoren 2;;;生物反应器2级;;
gui/menu/research/name/biogas_lvl_3;Bioreactors 3;;;;Bioreaktoren 3;;;生物反应器3级;;
gui/menu/research/name/biomass_morphed_processing;Morphed Biomass Handling;;;;Verarbeitung von transformierter Biomasse;;;变异生物质处理;;
gui/menu/research/name/biomass_morphed_processing_lvl_2;Advanced Morphed Biomass Handling;;;;Fortgeschrittene Verarbeitung von transformierter Biomasse;;;高级变异生物质处理;;
gui/menu/research/name/biomass_morphed_processing_lvl_3;Optimized Morphed Biomass Handling;;;;Optimierte Verarbeitung von transformierter Biomasse;;;优化变异生物质处理;;
gui/menu/research/name/biomass_processing;Plant Biomass Handling;;;;Verarbeitung von Pflanzenbiomasse;;;植物生物质处理;;
gui/menu/research/name/biomass_processing_lvl_2;Advanced Plant Biomass Handling;;;;Fortgeschrittene Verarbeitung von Pflanzenbiomasse;;;高级植物生物质处理;;
gui/menu/research/name/biomass_processing_lvl_3;Optimized Plant Biomass Handling;;;;Optimierte Verarbeitung von Pflanzenbiomasse;;;优化植物生物质处理;;
gui/menu/research/name/carbonization;Carbon Synthesis;;;;Kohlenstoffsynthese;;;碳合成;;
gui/menu/research/name/carbonization_lvl_2;Advanced Carbon Synthesis;;;;Fortgeschrittene Kohlenstoffsynthese;;;高级碳合成;;
gui/menu/research/name/comm_hub_expansion_lvl_1;Communications Hub Expansion;;;;Erweiterung des Kommunikationszentrums;;;通信中心扩容;;
gui/menu/research/name/comm_hub_expansion_lvl_2;Communications Hub Expansion 2;;;;Erweiterung des Kommunikationszentrums 2;;;通信中心扩容2级;;
gui/menu/research/name/comm_hub_expansion_lvl_3;Communications Hub Expansion 3;;;;Erweiterung des Kommunikationszentrums 3;;;通信中心扩容3级;;
gui/menu/research/name/comm_hub_expansion_lvl_4;Communications Hub Expansion 4;;;;Erweiterung des Kommunikationszentrums 4;;;通信中心扩容4级;;
gui/menu/research/name/comm_hub_lvl_2;Communications Hub 2;;;;Kommunikationsknoten 2;;;通信中心2级;;
gui/menu/research/name/comm_hub_lvl_3;Communications Hub 3;;;;Kommunikationsknoten 3;;;通信中心3级;;
gui/menu/research/name/comm_hub_lvl_4;Communications Hub 4;;;;Kommunikationsknoten 4;;;通信中心4级;;
gui/menu/research/name/comm_hub_lvl_5;Communications Hub 5;;;;Kommunikationsknoten 5;;;通信中心5级;;
gui/menu/research/name/coolants;Coolants;;;;Kühlmittel;;;冷却剂;;
gui/menu/research/name/coolants_lvl_2;Advanced Coolants;;;;Fortgeschrittene Kühlmittel;;;高级冷却剂;;
gui/menu/research/name/coolants_lvl_3;Optimized Coolant Production;;;;Optimierte Kühlmittelproduktion;;;优化冷却剂生产;;
gui/menu/research/name/cryo_technology_lvl_2;Advanced Cryo Technology;;;;Fortgeschrittene Kryotechnologie;;;高级冷冻技术;;
gui/menu/research/name/crystalizer_ferdonite;Ferdonite Crystallizer;;;;Ferdonit-Kristallisator;;;铁白云石结晶器;;
gui/menu/research/name/crystalizer_ferdonite_lvl2;Advanced Ferdonite Crystallizer;;;;Fortgeschrittener Ferdonit-Kristallisator;;;高级铁白云石结晶器;;
gui/menu/research/name/crystalizer_ferdonite_lvl3;Superior Ferdonite Crystallizer;;;;Überlegener Ferdonit-Kristallisator;;;卓越铁白云石结晶器;;
gui/menu/research/name/crystalizer_hazenite;Hazenite Crystallizer;;;;Hazenit-Kristallisator;;;黑森矿结晶器;;
gui/menu/research/name/crystalizer_hazenite_lvl2;Advanced Hazenite Crystallizer;;;;Fortgeschrittener Hazenit-Kristallisator;;;高级黑森矿结晶器;;
gui/menu/research/name/crystalizer_hazenite_lvl3;Superior Hazenite Crystallizer;;;;Überlegener Hazenit-Kristallisator;;;卓越黑森矿结晶器;;
gui/menu/research/name/crystalizer_rhodonite;Rhodonite Crystallizer;;;;Rhodonit-Kristallisator;;;蔷薇辉石结晶器;;
gui/menu/research/name/crystalizer_rhodonite_lvl2;Advanced Rhodonite Crystallizer;;;;Fortgeschrittener Rhodonit-Kristallisator;;;高级蔷薇辉石结晶器;;
gui/menu/research/name/crystalizer_rhodonite_lvl3;Superior Rhodonite Crystallizer;;;;Überlegener Rhodonit-Kristallisator;;;卓越蔷薇辉石结晶器;;
gui/menu/research/name/crystalizer_tanzanite;Tanzanite Crystallizer;;;;Tansanit-Kristallisator;;;坦桑石结晶器;;
gui/menu/research/name/crystalizer_tanzanite_lvl2;Advanced Tanzanite Crystallizer;;;;Fortgeschrittener Tansanit-Kristallisator;;;高级坦桑石结晶器;;
gui/menu/research/name/crystalizer_tanzanite_lvl3;Superior Tanzanite Crystallizer;;;;Überlegener Tansanit-Kristallisator;;;卓越坦桑石结晶器;;
gui/menu/research/name/deep_ionization;Deep ionization;;;;Tiefe Ionisierung;;;深度电离;;
gui/menu/research/name/deep_ionization_lvl_2;Advanced deep ionization;;;;Fortgeschrittene tiefe Ionisierung;;;高级深度电离;;
gui/menu/research/name/deep_ionization_lvl_3;Extreme ionization;;;;Extreme Ionisierung;;;极致电离;;
gui/menu/research/name/depleted_uranium_high_caliber_shells;Depleted Uranium high caliber Shells;;;;Großkalibrige Geschosse aus abgereichertem Uran;;;贫铀大口径炮弹;;
gui/menu/research/name/depleted_uranium_high_caliber_shells_lvl_2;Improved Depleted Uranium high caliber Shells;;;;Verbesserte großkalibrige Geschosse aus abgereichertem Uran;;;改进型贫铀大口径炮弹;;
gui/menu/research/name/depleted_uranium_low_caliber_shells;Depleted Uranium low caliber Rounds;;;;Kleinkalibrige Geschosse aus abgereichertem Uran;;;贫铀小口径子弹;;
gui/menu/research/name/depleted_uranium_low_caliber_shells_lvl_2;Improved Depleted Uranium low caliber Rounds;;;;Verbesserte Geschosse aus abgereichertem Uran mit kleinem Kaliber;;;改进型贫铀小口径子弹;;
gui/menu/research/name/energy_connector_eluminated;Illumination;;;;Beleuchtung;;;;;
gui/menu/research/name/fire_control_station;Fire Control Station;;;;Feuerleitstelle;;;火力控制站;;
gui/menu/research/name/fire_control_station_artillery;Long Range Fire Control Station;;;;Feuerleitstelle für große Entfernungen;;;远程火力控制站;;
gui/menu/research/name/floating_power_connectors;Floating Energy Connectors;;;;;;;;;
gui/menu/research/name/fluorine_capture;Fluorine Capture;;;;Fluor-Abscheidung;;;氟捕获;;
gui/menu/research/name/fluorine_capture_lvl_2;Biome Adjusted Fluorine Capture;;;;Biom-angepasste Fluor-Abscheidung;;;生物群系适应性氟捕获;;
gui/menu/research/name/fluorine_capture_lvl_3;Advanced Fluorine Capture;;;;Fortgeschrittene Fluor-Abscheidung;;;高级氟捕获;;
gui/menu/research/name/gas_filtering_lvl2;Gas Filtering 2;;;;Gasfilterung 2;;;气体过滤2级;;
gui/menu/research/name/gas_filtering_lvl3;Gas Filtering 3;;;;Gasfilterung 3;;;气体过滤3级;;
gui/menu/research/name/general_storage;General Storage;;;;Allgemeiner Lagerraum;;;通用存储;;
gui/menu/research/name/geoscanning_lvl_1;Geoscanning;;;;Geoscanning;;;地质扫描仪;;
gui/menu/research/name/geoscanning_lvl_2;Advanced Geoscanning;;;;Fortgeschrittenes Geoscanning;;;改进地质扫描仪;;
gui/menu/research/name/geoscanning_lvl_3;Optimized Geoscanning;;;;Optimiertes Geoscanning;;;优化地质扫描仪;;
gui/menu/research/name/geothermal_lvl_1;Geothermal Energy;;;;Geothermie;;;地热能;;
gui/menu/research/name/geothermal_lvl_2;Improved Geothermal;;;;Verbesserte Geothermie;;;改进地热能;;
gui/menu/research/name/geothermal_lvl_3;Optimized Geothermal;;;;Optimierte Geothermie;;;优化地热能;;
gui/menu/research/name/groundwater_access;Groundwater access;;;;Zugang zu Grundwasser;;;地下水获取;;
gui/menu/research/name/heat_charger;Thermal Ionization;;;;Thermische Ionisierung;;;热电离;;
gui/menu/research/name/heat_charger_lvl_2;Improved Thermal Ionization;;;;Verbesserte thermische Ionisierung;;;改进型热电离;;
gui/menu/research/name/heat_charger_lvl_3;Optimized Thermal Ionization;;;;Optimierte thermische Ionisierung;;;优化热电离;;
gui/menu/research/name/heavy_water_plant_lvl_2;Advanced Heavy Water Plant;;;;Fortgeschrittene Schwerwasseranlage;;;改进重水工厂;;
gui/menu/research/name/heavy_water_plant_lvl_3;Optimized Heavy Water Plant;;;;Optimierte Schwerwasseranlage;;;优化重水工厂;;
gui/menu/research/name/heavy_water_reactor_lvl_2;Heavy Water Reactor;;;;Schwerwasserreaktor;;;重水反应堆;;
gui/menu/research/name/heavy_water_reactor_lvl_3;Improved Heavy Water Reactor;;;;Verbesserter Schwerwasserreaktor;;;改进反应堆;;
gui/menu/research/name/high_caliber_weapons;High Caliber Weaponry ;;;;Großkalibrige Waffen;;;大口径武器;;
gui/menu/research/name/high_caliber_weapons_lvl_2;Advanced High caliber Weaponry ;;;;Fortgeschrittene großkalibrige Waffen;;;高级大口径武器;;
gui/menu/research/name/high_caliber_weapons_lvl_3;Extreme High Caliber Weaponry ;;;;Extrem großkalibrige Waffen;;;极致大口径武器;;
gui/menu/research/name/ionizer_lvl_2;Gas Ionization;;;;Gasionisierung;;;气体电离;;
gui/menu/research/name/ionizer_lvl_3;Infused Ionization;;;;Infundierte Ionisierung;;;注入式电离;;
gui/menu/research/name/irradiator_lvl_1;Material Irradiation;;;;Materialbestrahlung;;;辐照器;;
gui/menu/research/name/irradiator_lvl_2;Advanced Material Irradiation;;;;Fortgeschrittene Materialbestrahlung;;;改进辐照器;;
gui/menu/research/name/irradiator_lvl_3;Optimized Material Irradiation;;;;Optimierte Materialbestrahlung;;;优化辐照器;;
gui/menu/research/name/liquid_storage_lvl_1;Liquid Storage – Small;;;;;;;;;
gui/menu/research/name/liquid_storage_lvl_2;Liquid Storage – Normal;;;;;;;;;
gui/menu/research/name/liquid_storage_lvl_3;Liquid Storage – Large;;;;;;;;;
gui/menu/research/name/mech_upgrade_anti_corrosive_armor_lvl_2;Anti-Corrosive Armor 2;;;;Korrosionsbeständige Panzerung 2;;;抗腐蚀装甲2级;;
gui/menu/research/name/mech_upgrade_anti_corrosive_armor_lvl_3;Anti-Corrosive Armor 3;;;;Korrosionsbeständige Panzerung 3;;;抗腐蚀装甲3级;;
gui/menu/research/name/mech_upgrade_anti_corrosive_armor_lvl_4;Anti-Corrosive Armor 4;;;;Korrosionsbeständige Panzerung 4;;;抗腐蚀装甲4级;;
gui/menu/research/name/mech_upgrade_energy_armor_lvl_2;Energy Armor 2;;;;Energiepanzerung 2;;;能量装甲2级;;
gui/menu/research/name/mech_upgrade_energy_armor_lvl_3;Energy Armor 3;;;;Energiepanzerung 3;;;能量装甲3级;;
gui/menu/research/name/mech_upgrade_energy_armor_lvl_4;Energy Armor 4;;;;Energiepanzerung 4;;;能量装甲4级;;
gui/menu/research/name/mech_upgrade_fireproof_armor_lvl_2;Fireproof Armor 2;;;;Feuerfeste Panzerung 2;;;防火装甲2级;;
gui/menu/research/name/mech_upgrade_fireproof_armor_lvl_3;Fireproof Armor 3;;;;Feuerfeste Panzerung 3;;;防火装甲3级;;
gui/menu/research/name/mech_upgrade_fireproof_armor_lvl_4;Fireproof Armor 4;;;;Feuerfeste Panzerung 4;;;防火装甲4级;;
gui/menu/research/name/mech_upgrade_reflective_armor_lvl_2;Reflective Armor 2;;;;Reflektierende Panzerung 2;;;反射装甲2级;;
gui/menu/research/name/mech_upgrade_reflective_armor_lvl_3;Reflective Armor 3;;;;Reflektierende Panzerung 3;;;反射装甲3级;;
gui/menu/research/name/mech_upgrade_reflective_armor_lvl_4;Reflective Armor 4;;;;Reflektierende Panzerung 4;;;反射装甲4级;;
gui/menu/research/name/mech_weapons_burst_rifle_lvl_2;Burst Rifle - Advanced;;;;Sturmgewehr – Fortgeschritten;;;爆发步枪 - 高级;;
gui/menu/research/name/mech_weapons_burst_rifle_lvl_3;Burst Rifle - Superior;;;;Sturmgewehr – Überlegen;;;爆发步枪 - 卓越;;
gui/menu/research/name/mech_weapons_burst_rifle_lvl_4;Burst Rifle - Extreme;;;;Sturmgewehr – Extrem;;;爆发步枪 - 极致;;
gui/menu/research/name/mech_weapons_granade_launcher_lvl_2;Grenade Launcher - Advanced;;;;Granatwerfer – Fortgeschritten;;;榴弹发射器 - 高级;;
gui/menu/research/name/mech_weapons_granade_launcher_lvl_3;Grenade Launcher - Superior;;;;Granatwerfer – Überlegen;;;榴弹发射器 - 卓越;;
gui/menu/research/name/mech_weapons_granade_launcher_lvl_4;Grenade Launcher - Extreme;;;;Granatwerfer – Extrem;;;榴弹发射器 - 极致;;
gui/menu/research/name/mech_weapons_mine_layer_lvl_2;Mine Layer - Advanced;;;;Minenleger – Fortgeschritten;;;布雷器 - 高级;;
gui/menu/research/name/mech_weapons_mine_layer_lvl_3;Mine Layer - Superior;;;;Minenleger – Überlegen;;;布雷器 - 卓越;;
gui/menu/research/name/mech_weapons_mine_layer_lvl_4;Mine Layer - Extreme;;;;Minenleger – Extrem;;;布雷器 - 极致;;
gui/menu/research/name/mech_weapons_rocket_launcher_lvl_2;Rocket Launcher - Advanced;;;;Raketenwerfer – Fortgeschritten;;;火箭发射器 - 高级;;
gui/menu/research/name/mech_weapons_rocket_launcher_lvl_3;Rocket Launcher - Superior;;;;Raketenwerfer – Überlegen;;;火箭发射器 - 卓越;;
gui/menu/research/name/mech_weapons_rocket_launcher_lvl_4;Rocket Launcher - Extreme;;;;Raketenwerfer – Extrem;;;火箭发射器 - 极致;;
gui/menu/research/name/mech_weapons_shotgun_lvl_2;Shotgun - Advanced;;;;Schrotflinte – Fortgeschritten;;;霰弹枪 - 高级;;
gui/menu/research/name/mech_weapons_shotgun_lvl_3;Shotgun - Superior;;;;Schrotflinte – Überlegen;;;霰弹枪 - 卓越;;
gui/menu/research/name/mech_weapons_shotgun_lvl_4;Shotgun - Extreme;;;;Schrotflinte – Extrem;;;霰弹枪 - 极致;;
